time,latitude,longitude,depth,mag,ER,EG,EH
2024-12-13T01:24:03.960Z,38.799835205078,-122.73049926758,1.3200000524521,1.27,3548934.957922931,1013981.4165494088,506990.7082747044
2024-12-13T00:57:14.720Z,38.831665039062,-122.81833648682,1.8999999761581,0.71,512977.1731972331,146564.9066277809,73282.45331389045
2024-12-13T00:54:48.442Z,39.0966,-118.9661,9.4,3.3,3936389276.332443,1124682650.3806982,562341325.1903491
2024-12-13T00:43:00.615Z,63.3242,-149.4792,26.6,2.0,44167014.1136135,12619146.88960386,6309573.44480193
2024-12-13T00:34:41.710Z,38.806667327881,-122.84300231934,11.359999656677,0.77,631099.7963241698,180314.2275211914,90157.1137605957
2024-12-13T00:34:41.690Z,34.0833333,-117.9996667,15.67,1.08,1841187.594326767,526053.5983790763,263026.7991895382
2024-12-13T00:26:31.327Z,-24.2417,-67.1471,169.731,4.9,988776281235.9287,282507508924.5511,141253754462.27554
2024-12-13T00:25:00.261Z,-4.361,142.5497,78.733,4.4,175832050205.67075,50237728630.19165,25118864315.095825
2024-12-13T00:09:28.882Z,59.2767,-153.7019,95.0,1.9,31267851.45056738,8933671.843019253,4466835.921509626
2024-12-13T00:04:16.987Z,64.9769,-147.4619,0.7,1.3,3936389.2763324436,1124682.6503806983,562341.3251903491
2024-12-13T00:02:54.645Z,31.642,-104.477,3.0927,1.7,15671047.969978362,4477442.277136675,2238721.1385683375
2024-12-12T23:58:44.670Z,19.50333404541,-155.45883178711,1.4199999570847,2.0999999,62387544.121464,17825012.606132574,8912506.303066287
2024-12-12T23:43:24.057Z,39.1439,-119.0441,15.9,1.4,5560297.643069963,1588656.469448561,794328.2347242805
2024-12-12T23:39:06.780Z,33.2775,-115.6993333,3.59,1.98,41219055.874891184,11776873.107111769,5888436.553555884
2024-12-12T23:29:05.790Z,38.808334350586,-122.82066345215,2.9900000095367,1.12,2113966.2042814135,603990.3440804038,301995.1720402019
2024-12-12T23:26:41.574Z,31.671,-104.394,6.5947,1.8,22135943.621178653,6324555.320336759,3162277.6601683795
2024-12-12T23:22:47.557Z,41.0178,84.0571,36.984,4.3,124479558702.72458,35565588200.77846,17782794100.38923
2024-12-12T23:04:51.460Z,34.9916667,-118.1891667,-0.8,1.38,5189171.689106413,1482620.4826018326,741310.2413009163
2024-12-12T23:02:38.186Z,61.5278,-151.8793,13.5,1.1,1972868.0518851182,563676.586252891,281838.2931264455
2024-12-12T22:59:21.689Z,63.1258,-151.5265,0.0,2.2,88124778.82559162,25178508.235883325,12589254.117941663
2024-12-12T22:53:58.180Z,40.300498962402,-124.47699737549,17.790000915527,2.16,76753473.73002279,21929563.92286366,10964781.96143183
2024-12-12T22:42:03.770Z,59.4164,-153.1298,76.8,1.7,15671047.969978362,4477442.277136675,2238721.1385683375
2024-12-12T22:35:57.603Z,60.1968,-151.9923,33.4,1.5,7854129.18011374,2244036.908603926,1122018.454301963
2024-12-12T22:29:39.328Z,65.0103,-148.8027,18.1,1.0,1396683.6204782152,399052.4629937758,199526.2314968879
2024-12-12T22:18:31.640Z,49.317666666667,-120.552,-0.24,1.95,37161911.09616915,10617688.88461976,5308844.44230988
2024-12-12T22:15:46.130Z,39.0947,-119.0244,10.5,2.3,124479558.70272458,35565588.200778455,17782794.100389227
2024-12-12T22:15:08.840Z,46.201666666667,-122.19116666667,6.9,-0.08,33504.106462584656,9572.60184645276,4786.30092322638
2024-12-12T22:05:47.668Z,60.7776,-151.5569,98.4,2.0,44167014.1136135,12619146.88960386,6309573.44480193
2024-12-12T22:01:10.077Z,39.3292,-163.5132,0.0,1.9,31267851.45056738,8933671.843019253,4466835.921509626
2024-12-12T21:45:07.731Z,63.8227,-148.4032,45.5,1.8,22135943.621178653,6324555.320336759,3162277.6601683795
2024-12-12T21:38:47.471Z,57.2782,-153.6344,30.9,2.3,124479558.70272458,35565588.200778455,17782794.100389227
2024-12-12T21:19:31.197Z,64.4591,-146.9218,0.2,1.6,11094252.347227799,3169786.3849222288,1584893.1924611144
2024-12-12T21:16:14.903Z,61.5778,-146.4789,30.6,1.8,22135943.621178653,6324555.320336759,3162277.6601683795
2024-12-12T21:01:24.990Z,46.360668182373,-122.38400268555,-0.15999999642372,1.7796680927277,20634795.971451286,5895655.991843225,2947827.9959216127
2024-12-12T20:51:26.901Z,62.3912,-152.0694,104.0,1.4,5560297.643069963,1588656.469448561,794328.2347242805
2024-12-12T20:46:17.615Z,61.6272,-150.2123,25.7,1.7,15671047.969978362,4477442.277136675,2238721.1385683375
2024-12-12T20:30:52.980Z,19.517666666667,-155.46216666667,2.35,1.92,33504106.46258466,9572601.846452761,4786300.923226381
2024-12-12T20:28:25.873Z,60.2388,-150.9951,60.7,1.7,15671047.969978362,4477442.277136675,2238721.1385683375
2024-12-12T20:18:48.890Z,40.30033493042,-124.53500366211,15.210000038147,2.52,266132577.42439285,76037879.26411225,38018939.632056125
2024-12-12T20:03:08.075Z,-12.0031,165.9573,10.0,4.7,495562049068.89813,141589156876.82806,70794578438.41403
2024-12-12T19:57:54.664Z,64.9202,-146.4847,6.2,2.1,62387565.66936221,17825018.76267492,8912509.38133746
2024-12-12T19:55:20.012Z,30.5632,141.9457,10.0,5.1,1972868051885.1143,563676586252.8899,281838293126.44495
2024-12-12T19:46:39.943Z,-11.8928,166.232,10.0,5.1,1972868051885.1143,563676586252.8899,281838293126.44495
2024-12-12T19:41:36.526Z,-17.3815,-178.8278,550.697,5.0,1396683620478.2178,399052462993.7766,199526231496.8883
2024-12-12T19:37:10.764Z,-12.0513,166.0756,10.0,5.0,1396683620478.2178,399052462993.7766,199526231496.8883
2024-12-12T19:27:45.702Z,61.4077,-147.2679,12.9,2.6,350831063.53909004,100237446.7254543,50118723.36272715
2024-12-12T19:25:02.000Z,44.768166666667,-110.92083333333,9.18,0.44,201882.20521886236,57680.63006253212,28840.31503126606
2024-12-12T18:53:46.224Z,61.3315,-150.0669,43.2,1.9,31267851.45056738,8933671.843019253,4466835.921509626
2024-12-12T18:51:31.360Z,47.968333333333,-114.11583333333,9.77,1.65,13185543.626428587,3767298.1789795966,1883649.0894897983
2024-12-12T18:41:46.400Z,33.2928333,-116.2493333,4.88,1.13,2188255.5569867645,625215.8734247899,312607.93671239493
2024-12-12T18:37:45.630Z,37.595,-113.30733333333,8.78,1.26,3428451.735579119,979557.6387368912,489778.8193684456
2024-12-12T18:30:37.590Z,33.9836667,-116.847,15.65,0.86,861188.1395686667,246053.75416247622,123026.87708123811
2024-12-12T18:30:14.680Z,35.3845,-117.7525,6.3,0.98,1303460.9956640059,372417.4273325731,186208.71366628655
2024-12-12T18:11:47.073Z,6.3875,-73.131,188.698,4.3,124479558702.72458,35565588200.77846,17782794100.38923
2024-12-12T18:03:42.860Z,38.837001800537,-122.80117034912,1.5499999523163,0.21,91221.674491661,26063.335569046,13031.667784523
2024-12-12T17:54:36.380Z,38.833999633789,-122.81483459473,1.0499999523163,1.06,1718296.2409795201,490941.78313700575,245470.89156850288
2024-12-12T17:48:30.044Z,58.146,-154.6725,7.5,0.8,700000.0,200000.0,100000.0
2024-12-12T17:44:44.906Z,61.2928,-152.2651,7.4,1.4,5560297.643069963,1588656.469448561,794328.2347242805
2024-12-12T17:43:21.200Z,38.814666748047,-122.46499633789,4.7800002098083,1.04,1603607.356937439,458173.530553554,229086.765276777
2024-12-12T17:42:16.570Z,33.3016667,-116.2415,5.27,0.88,922779.7169894851,263651.3477112815,131825.67385564075
2024-12-12T17:33:28.104Z,59.488,-152.6065,82.4,3.1,1972868051.8851142,563676586.2528899,281838293.12644494
2024-12-12T17:29:51.579Z,-12.058,166.1221,10.0,5.2,2786750193874.4897,796214341106.9971,398107170553.49854
2024-12-12T17:19:51.410Z,36.0511667,-117.9873333,2.21,1.13,2188255.5569867645,625215.8734247899,312607.93671239493
2024-12-12T17:11:24.280Z,38.503,-112.90283333333,3.06,1.26,3428451.735579119,979557.6387368912,489778.8193684456
2024-12-12T17:02:20.030Z,38.802833557129,-122.85182952881,10.329999923706,0.75,588976.5991516362,168279.02832903896,84139.51416451948
2024-12-12T16:59:00.962Z,39.1649,-119.068,7.5,1.9,31267851.45056738,8933671.843019253,4466835.921509626
2024-12-12T16:58:55.180Z,40.365001678467,-124.97750091553,-0.20000000298023,2.59,338920657.3088685,96834473.5168196,48417236.7584098
2024-12-12T16:56:43.700Z,38.81600189209,-122.82966613769,1.6200000047684,1.74,17992770.47938205,5140791.565537729,2570395.7827688647
2024-12-12T16:52:42.840Z,19.162834167481,-155.49183654785,32.709999084473,1.86000001,27233161.090199646,7780903.168628471,3890451.5843142355
2024-12-12T16:51:43.560Z,47.1935,-121.87983333333,-1.17,0.8,700000.0,200000.0,100000.0
2024-12-12T16:49:28.850Z,38.830001831055,-122.80133056641,1.3799999952316,0.7,495562.0490688961,141589.15687682747,70794.57843841374
2024-12-12T16:48:28.215Z,39.1703,-119.0382,5.1,2.0,44167014.1136135,12619146.88960386,6309573.44480193
2024-12-12T16:48:27.570Z,38.829833984375,-122.80183410644,1.5499999523163,0.76,609674.5129692557,174192.71799121593,87096.35899560797
2024-12-12T16:34:12.429Z,32.755,-100.642,6.6162,3.2,2786750193.87449,796214341.1069971,398107170.55349857
2024-12-12T16:33:11.260Z,19.271667480469,-155.3878326416,28.559999465942,2.21000004,91221687.09440185,26063339.169829104,13031669.584914552
2024-12-12T16:31:25.471Z,39.1193,-119.0436,8.5,2.1,62387565.66936221,17825018.76267492,8912509.38133746
2024-12-12T16:31:21.341Z,56.5751,-152.5106,22.9,2.8,700000000.0,200000000.0,100000000.0
2024-12-12T16:24:15.238Z,39.1041,-119.0226,2.6,1.2,2786750.1938744783,796214.341106994,398107.170553497
2024-12-12T16:10:50.070Z,44.772166666667,-111.36616666667,10.29,0.05,52492.5946532719,14997.884186649117,7498.942093324558
2024-12-12T16:05:19.913Z,59.8194,-152.9799,101.5,1.4,5560297.643069963,1588656.469448561,794328.2347242805
2024-12-12T15:52:36.270Z,36.187333333333,-89.455333333333,7.63,1.62,11887705.567232221,3396487.304923492,1698243.652461746
2024-12-12T15:50:54.950Z,19.631666666667,-156.07333333333,6.28,1.76,19279600.923367143,5508457.406676327,2754228.7033381634
2024-12-12T15:48:53.920Z,35.9563333,-117.737,3.99,0.92,1059492.8739053449,302712.24968724145,151356.12484362072
2024-12-12T15:43:39.190Z,40.318832397461,-124.47116851807,12.470000267029,2.69,478738153.0970015,136782329.45628616,68391164.72814308
2024-12-12T15:43:06.470Z,36.504833221435,-121.09583282471,6.7199997901917,1.33,4366143.8483769335,1247469.6709648382,623734.8354824191
2024-12-12T15:39:51.210Z,35.68,-84.151166666667,11.47,2.33,138069591.52803972,39448454.722297065,19724227.361148532
2024-12-12T15:34:28.780Z,34.2943333,-118.609,4.5,1.74,17992770.47938205,5140791.565537729,2570395.7827688647
2024-12-12T15:30:17.660Z,33.6388333,-116.7228333,16.69,0.7,495562.0490688961,141589.15687682747,70794.57843841374
2024-12-12T15:24:44.755Z,39.1651,-119.056,6.4,2.1,62387565.66936221,17825018.76267492,8912509.38133746
2024-12-12T15:17:51.230Z,38.820835113525,-122.81216430664,2.8099999427795,1.1,1972868.0518851182,563676.586252891,281838.2931264455
2024-12-12T15:17:34.660Z,35.6705,-117.5218333,9.02,1.63,12305465.297710827,3515847.2279173792,1757923.6139586896
2024-12-12T15:15:25.470Z,38.807998657227,-122.76866912842,1.1799999475479,0.7,495562.0490688961,141589.15687682747,70794.57843841374
2024-12-12T15:14:18.840Z,36.489166259766,-121.12767028809,1.8799999952316,1.98,41219055.874891184,11776873.107111769,5888436.553555884
2024-12-12T15:12:06.327Z,56.708,-152.8263,19.2,4.2,88124778825.59198,25178508235.883427,12589254117.941713
2024-12-12T15:06:38.757Z,31.683,-104.403,6.5356,2.2,88124778.82559162,25178508.235883325,12589254.117941663
2024-12-12T15:05:42.490Z,33.6346667,-116.7318333,17.31,1.13,2188255.5569867645,625215.8734247899,312607.93671239493
2024-12-12T14:59:40.890Z,19.139499664307,-155.36199951172,30.200000762939,1.84000003,25415466.467364285,7261561.847818367,3630780.9239091836
2024-12-12T14:54:54.110Z,33.6336667,-116.73,16.83,0.87,891452.1567116623,254700.6162033321,127350.30810166604
2024-12-12T14:50:13.520Z,40.364833831787,-125.08483123779,0.11999999731779,3.83,24552631176.679756,7015037479.05136,3507518739.52568
2024-12-12T14:45:42.158Z,-24.0349,-66.7392,222.804,4.3,124479558702.72458,35565588200.77846,17782794100.38923
2024-12-12T14:41:18.299Z,60.2439,-151.9423,81.1,1.9,31267851.45056738,8933671.843019253,4466835.921509626
2024-12-12T14:40:53.451Z,60.1309,-150.869,114.9,2.0,44167014.1136135,12619146.88960386,6309573.44480193
2024-12-12T14:37:56.790Z,44.7735,-111.357,8.13,-0.14,27233.160149599633,7780.90289988561,3890.451449942805
2024-12-12T14:37:06.140Z,33.638,-116.7278333,16.67,0.5,248369.37246350272,70962.67784671507,35481.338923357536
2024-12-12T14:34:39.420Z,44.0445,-110.35166666667,13.52,1.47,7081056.179819288,2023158.9085197968,1011579.4542598984
2024-12-12T14:25:16.890Z,31.9271667,-115.802,9.67,2.66,431616501.30303663,123319000.3722962,61659500.1861481
2024-12-12T14:20:25.203Z,35.2286,43.3256,10.0,4.5,248369372463.5032,70962677846.71521,35481338923.357605
2024-12-12T14:20:02.570Z,35.4838333,-118.4436667,2.28,1.92,33504106.46258466,9572601.846452761,4786300.923226381
2024-12-12T14:07:41.270Z,47.957,-114.13066666667,4.99,0.11,64579.99990083339,18451.428543095255,9225.714271547628
2024-12-12T14:06:43.300Z,38.811832427979,-122.82949829102,2.170000076294,0.82,750063.5136663233,214303.86104752097,107151.93052376049
2024-12-12T14:06:21.770Z,34.0478333,-117.1328333,6.64,1.01,1445766.1090673688,413076.03116210544,206538.01558105272
2024-12-12T14:02:16.600Z,40.330501556396,-125.01399993897,1.0900000333786,3.11,2042198909.800816,583485402.8002332,291742701.4001166
2024-12-12T14:00:07.214Z,64.1505,-148.7223,9.8,1.5,7854129.18011374,2244036.908603926,1122018.454301963
2024-12-12T13:58:03.540Z,63.0954,-151.3351,0.0,1.8,22135943.621178653,6324555.320336759,3162277.6601683795
2024-12-12T13:56:49.370Z,47.9665,-114.13433333333,9.33,1.29,3802752.320447027,1086500.662984865,543250.3314924325
2024-12-12T13:46:42.240Z,17.3815,-67.8231,27.0,3.54,9017746861.851925,2576499103.3862643,1288249551.6931322
2024-12-12T13:45:58.860Z,63.4503,-150.4314,0.0,2.1,62387565.66936221,17825018.76267492,8912509.38133746
2024-12-12T13:36:17.165Z,57.254,-154.0241,45.0,2.5,248369372.4635032,70962677.84671521,35481338.923357606
2024-12-12T13:34:45.070Z,19.333166122436,-155.17599487305,1.75,1.75999999,19279600.257473353,5508457.216420959,2754228.6082104794
2024-12-12T13:24:48.467Z,61.6047,-150.8717,47.6,2.4,175832050.20567003,50237728.630191445,25118864.315095723
2024-12-12T13:18:46.140Z,19.155666666667,-64.3625,43.85,3.38,5189171689.106435,1482620482.6018386,741310241.3009193
2024-12-12T13:18:36.920Z,45.457166666667,-122.77283333333,21.83,1.44,6384075.875491367,1824021.6787118195,912010.8393559097
2024-12-12T13:16:44.410Z,33.2883333,-116.2446667,5.32,2.06,54337298.16400837,15524942.332573824,7762471.166286912
2024-12-12T13:13:26.580Z,34.3126667,-118.735,9.03,1.26,3428451.735579119,979557.6387368912,489778.8193684456
2024-12-12T13:06:23.437Z,52.1538,-170.4259,13.7,3.8,22135943621.178654,6324555320.336759,3162277660.1683793
2024-12-12T13:05:59.120Z,47.962333333333,-114.14766666667,7.48,0.6,350831.06353909004,100237.4467254543,50118.72336272715
2024-12-12T13:00:25.650Z,36.492500305176,-121.12232971191,-0.56000000238419,2.59,338920657.3088685,96834473.5168196,48417236.7584098
2024-12-12T12:51:25.770Z,47.968,-114.128,8.78,1.44,6384075.875491367,1824021.6787118195,912010.8393559097
2024-12-12T12:28:16.060Z,33.717,-117.0375,13.52,0.76,609674.5129692557,174192.71799121593,87096.35899560797
2024-12-12T12:13:44.541Z,39.1008,-119.0273,4.3,1.4,5560297.643069963,1588656.469448561,794328.2347242805
2024-12-12T12:11:46.270Z,17.886833333333,-68.539,59.54,3.43,6167342111.056103,1762097746.0160294,881048873.0080147
2024-12-12T12:10:35.872Z,39.1829,-119.037,4.2,2.1,62387565.66936221,17825018.76267492,8912509.38133746
